Symbol,MarketCap
A,36510769152
AAPL,3401054945280
ABT,201023913984
ACGL,38312722432
ACN,220930342912
ADBE,221583474688
ADI,102451331072
ADM,25508876288
ADP,121275506688
ADSK,64469512192
AEE,24349171712
AEP,51291332608
AES,9933047808
AFL,61841375232
AIG,47262978048
AIZ,11222709248
AJG,64644399104
AKAM,13134347264
ALB,12168915968
ALGN,16699153408
ALL,52134416384
AMAT,139225350144
AMD,218917060608
AME,44665577472
AMGN,152449728512
AMP,54564892672
AMT,91798921216
AMZN,2130444156928
ANSS,29066631168
AON,82027536384
AOS,10472989696
APA,8279413760
APD,70495772672
APH,85019615232
ARE,18451372032
ATO,22491707392
AVB,32630589440
AVGO,769898446848
AVY,15886893056
AWK,26160621568
AXON,45703311360
AXP,202084139008
AZO,52530618368
BA,104802680832
BAC,358707134464
BALL,18180110336
BAX,16318392320
BBY,19896418304
BDX,65077800960
BEN,11347886080
BG,12650206208
BIIB,23313584128
BK,56922939392
BKNG,164662362112
BKR,42490245120
BLDR,20287182848
BLK,155144814592
BMY,114024284160
BR,26624976896
BRO,31469680640
BSX,128208470016
BWA,7545149952
BX,220028567552
BXP,13850649600
C,130043043840
CAG,12743189504
CAH,28745947136
CAT,185429753856
CB,116092223488
CBOE,21011527680
CBRE,39852720128
CCI,45111275520
CCL,32620371968
CDNS,79456731136
CE,8065039360
CF,15151921152
CHD,26709680128
CHRW,13025009664
CHTR,55389908992
CI,89431744512
CINF,23725492224
CL,76439552000
CLX,20750647296
CMCSA,164082040832
CME,81182351360
CMG,79888654336
CMI,49639309312
CMS,20386101248
CNC,29009541120
CNP,20112293888
COF,70632767488
COO,19841910784
COP,129270202368
COR,47088963584
COST,401899126784
CPB,12842130432
CPRT,54594457600
CPT,12777183232
CRL,9600310272
CRM,310948560896
CSCO,229036703744
CSGP,29209649152
CSX,67745394688
CTAS,86789947392
CTRA,18842560512
CTSH,38232989696
CVS,66934824960
CVX,287798919168
D,48409776128
DAL,41343156224
DD,34209615872
DE,109152722944
DECK,26686619648
DFS,44206247936
DG,16687150080
DGX,17907511296
DHI,52366004224
DHR,166484393984
DIS,208402989056
DLR,60748042240
DLTR,13802485760
DOC,14590382080
DOV,27600285696
DPZ,14863608832
DRI,19596650496
DTE,24870756352
DUK,86649298944
DVA,13150908416
DVN,25270941696
DXCM,29638348800
EA,42320371712
EBAY,29424969728
ECL,69442650112
ED,33407973376
EFX,30773563392
EG,15959242752
EIX,32396713984
EL,22884845568
ELV,92929228800
EMN,11777920000
EMR,72289951744
EOG,75683266560
EQIX,86585614336
EQR,28780531712
EQT,25484374016
ERIE,21177409536
ES,22661961728
ESS,20097185792
ETN,141872840704
ETR,31972519936
EVRG,14663269376
EW,39964848128
EXC,39298904064
EXPD,16819516416
EXPE,23275548672
EXR,36295516160
F,43756933120
FAST,46890721280
FCX,61356912640
FDS,18382780416
FDX,71943348224
FE,23922917376
FFIV,13847285760
FI,119996391424
FICO,55050600448
FIS,47278247936
FITB,31508815872
FMC,6789830144
FRT,9718183936
FSLR,20389195776
FTNT,72199872512
GD,79188320256
GE,191489572864
GEN,18227343360
GILD,110170267648
GIS,35091599360
GL,9166804992
GLW,39805157376
GNRC,10817799168
GOOG,2119197392896
GOOGL,2119194902528
GPC,17048594432
GPN,29521420288
GRMN,40023769088
GS,186318143488
GWW,57384902656
HAL,26082725888
HAS,8678356992
HBAN,25700208640
HD,405442330624
HES,44874309632
HIG,34192644096
HOLX,18256578560
HON,148900052992
HPQ,35376340992
HRL,16017713152
HSIC,8573065728
HST,12229211136
HSY,34586517504
HUBB,23486746624
HUM,33193701376
IBM,189542989824
ICE,89313239040
IDXX,34466091008
IEX,17252038656
IFF,22024448000
INCY,14616355840
INTC,105021546496
INTU,192804454400
IP,20003753984
IPG,10091269120
IRM,33712683008
ISRG,187923595264
IT,40330440704
ITW,79914082304
IVZ,7941604864
J,17395961856
JBHT,18386352128
JBL,14473242624
JCI,56380383232
JKHY,12637280256
JNJ,370773491712
JNPR,12088058880
JPM,690631081984
K,27772315648
KDP,42945208320
KEY,18992982016
KIM,16777876480
KKR,138438164480
KLAC,82190172160
KMB,44713668608
KMX,12088719360
KO,265963585536
KR,41976659968
L,18120996864
LDOS,21436010496
LEN,45497311232
LH,19672799232
LHX,46847995904
LIN,213842575360
LKQ,9930472448
LLY,708379607040
LMT,126773436416
LNT,15647407104
LOW,152829001728
LRCX,90132643840
LULU,39289868288
LUV,19551426560
LVS,34772246528
LYB,26841165824
LYV,29747271680
MA,479006818304
