,Date,Explained_Variance_Ratio
2010-11-29,2010-11-29,0.023087961486214455
2010-11-30,2010-11-30,0.023201899887174134
2010-12-01,2010-12-01,0.023224671580246894
2010-12-02,2010-12-02,0.023067690480527342
2010-12-03,2010-12-03,0.02310661402919935
2010-12-06,2010-12-06,0.023072925218990323
2010-12-07,2010-12-07,0.02292373100387585
2010-12-08,2010-12-08,0.022785539948963384
2010-12-09,2010-12-09,0.022816829976572136
2010-12-10,2010-12-10,0.022829193788446507
2010-12-13,2010-12-13,0.022685704176845966
2010-12-14,2010-12-14,0.022724535242626343
2010-12-15,2010-12-15,0.023042535161772723
2010-12-16,2010-12-16,0.023032895405687665
2010-12-17,2010-12-17,0.022901792051364455
2010-12-20,2010-12-20,0.022928166443573293
2010-12-21,2010-12-21,0.022945908676386063
2010-12-22,2010-12-22,0.023117737265580866
2010-12-23,2010-12-23,0.023107771275959872
2010-12-27,2010-12-27,0.023173258245287324
2010-12-28,2010-12-28,0.02319256375453035
2010-12-29,2010-12-29,0.02315637181839763
2010-12-30,2010-12-30,0.02316456954541709
2010-12-31,2010-12-31,0.023170744834898047
2011-01-03,2011-01-03,0.023102392445003266
2011-01-04,2011-01-04,0.02318543972252949
2011-01-05,2011-01-05,0.023015404426710802
2011-01-06,2011-01-06,0.023128678522398683
2011-01-07,2011-01-07,0.0230048215146441
2011-01-10,2011-01-10,0.02299582107825779
2011-01-11,2011-01-11,0.022918098049429715
2011-01-12,2011-01-12,0.022830618427840847
2011-01-13,2011-01-13,0.02285549762159568
2011-01-14,2011-01-14,0.022856767981315362
2011-01-18,2011-01-18,0.022977208847679766
2011-01-19,2011-01-19,0.022935102317083206
2011-01-20,2011-01-20,0.02312779457542641
2011-01-21,2011-01-21,0.023415924005200345
2011-01-24,2011-01-24,0.023683775328808436
2011-01-25,2011-01-25,0.023673637897003035
2011-01-26,2011-01-26,0.02364775022132857
2011-01-27,2011-01-27,0.023730151663001416
2011-01-28,2011-01-28,0.0238268494473703
2011-01-31,2011-01-31,0.023695947347243004
2011-02-01,2011-02-01,0.02377015756853815
2011-02-02,2011-02-02,0.02364828913884314
2011-02-03,2011-02-03,0.023632435087876734
2011-02-04,2011-02-04,0.023919155126638166
2011-02-07,2011-02-07,0.02394579949384403
2011-02-08,2011-02-08,0.023867601749788313
2011-02-09,2011-02-09,0.023833921207699442
2011-02-10,2011-02-10,0.02381135011746964
2011-02-11,2011-02-11,0.023898098689915763
2011-02-14,2011-02-14,0.023784320091313996
2011-02-15,2011-02-15,0.02381954856781298
2011-02-16,2011-02-16,0.02392815217240584
2011-02-17,2011-02-17,0.02387557550947293
2011-02-18,2011-02-18,0.023807730611261478
2011-02-22,2011-02-22,0.02373939064880738
2011-02-23,2011-02-23,0.024101634025061942
2011-02-24,2011-02-24,0.024207451121219546
2011-02-25,2011-02-25,0.0243826333915105
2011-02-28,2011-02-28,0.02424101103159609
2011-03-01,2011-03-01,0.024616708387208572
2011-03-02,2011-03-02,0.024499116354130896
2011-03-03,2011-03-03,0.024496322580810186
2011-03-04,2011-03-04,0.024414072413031125
2011-03-07,2011-03-07,0.02445476892339856
2011-03-08,2011-03-08,0.02457880733801962
2011-03-09,2011-03-09,0.024540133929889477
2011-03-10,2011-03-10,0.02483848542808262
2011-03-11,2011-03-11,0.024697840919865897
2011-03-14,2011-03-14,0.024647510106261383
