Portfolio: PCA Portfolio 3

Portfolio Statistics:
Annual_Return                                                          0.126868
Annual_Volatility                                                      0.182804
Sharpe_Ratio                                                           0.694012
Historical_VaR_Breach_Rate                                             4.481793
LSTM_VaR_Breach_Rate                                                   1.120448
Skewness                                                              -0.938706
Excess_Kurtosis                                                       15.996688
Max_Drawdown                                                          -0.145093
VaR_95_Historical                                                     -0.017468
Annual_Turnover               [0.014278014439476358, 0.016909961005680457, 0...
Mean_Explained_Variance                                                0.034447
Weight_Stability                                                            NaN
Max_Single_Stock_Exposure                                                   NaN

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.481793
LSTM_VaR_Breach_Rate              1.120448
Avg_Historical_VaR               -0.012110
Avg_Historical_ES                -0.014409
Avg_LSTM_VaR                     -0.016671
Avg_LSTM_ES                      -0.020120
LSTM_Prediction_MAE               0.006667
LSTM_Prediction_MSE               0.000067
LSTM_Prediction_Std               0.002407
Actual_Returns_Std                0.007171
LSTM_VaR_Coverage_Ratio           0.224090
Historical_VaR_Coverage_Ratio     0.896359
LSTM_ES_vs_Historical_ES_Ratio    1.396388

Portfolio Composition:
       Stock        Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
COP      COP  7.642485e-03       1.626487e-04                    -3.421097e-04           0.764249
HAL      HAL  7.371537e-03       2.011448e-04                    -3.490060e-04           0.737154
APA      APA  7.155626e-03       2.349572e-04                    -3.547392e-04           0.715563
JPM      JPM  7.051945e-03       1.233541e-04                    -2.985087e-04           0.705195
CVX      CVX  6.926825e-03       1.173372e-04                    -2.996140e-04           0.692682
WFC      WFC  6.906466e-03       1.303477e-04                    -3.034009e-04           0.690647
XOM      XOM  6.850019e-03       1.077846e-04                    -2.822698e-04           0.685002
COF      COF  6.806216e-03       1.466072e-04                    -3.148660e-04           0.680622
EOG      EOG  6.689258e-03       1.607233e-04                    -2.937300e-04           0.668926
MRO      MRO  6.677259e-03       1.999723e-04                    -3.217889e-04           0.667726
ISRG    ISRG  6.578979e-03       1.314309e-04                    -2.967261e-04           0.657898
BKR      BKR  6.260939e-03       1.499395e-04                    -2.789138e-04           0.626094
HES      HES  6.248486e-03       1.593673e-04                    -2.807497e-04           0.624849
IRM      IRM  6.205627e-03       1.097978e-04                    -2.692149e-04           0.620563
DVN      DVN  6.199493e-03       1.776443e-04                    -3.004395e-04           0.619949
MTB      MTB  6.037800e-03       1.146493e-04                    -2.552185e-04           0.603780
SLB      SLB  6.020717e-03       1.385806e-04                    -2.689321e-04           0.602072
MET      MET  5.948366e-03       1.161564e-04                    -2.653236e-04           0.594837
DFS      DFS  5.901316e-03       1.337689e-04                    -2.807650e-04           0.590132
DLR      DLR  5.879434e-03       9.973198e-05                    -2.409049e-04           0.587943
CTRA    CTRA  5.746871e-03       1.364088e-04                    -2.470340e-04           0.574687
RJF      RJF  5.713831e-03       1.096103e-04                    -2.569359e-04           0.571383
L          L  5.634240e-03       8.377216e-05                    -2.496515e-04           0.563424
PRU      PRU  5.538045e-03       1.113143e-04                    -2.451073e-04           0.553805
OXY      OXY  5.508046e-03       1.517861e-04                    -2.703602e-04           0.550805
AMP      AMP  5.507121e-03       1.137463e-04                    -2.474232e-04           0.550712
IFF      IFF  5.503477e-03       9.374332e-05                    -2.667490e-04           0.550348
HBAN    HBAN  5.499587e-03       1.176173e-04                    -2.486191e-04           0.549959
KEY      KEY  5.448493e-03       1.295547e-04                    -2.506244e-04           0.544849
RF        RF  5.358884e-03       1.263554e-04                    -2.491875e-04           0.535888
BAC      BAC  5.352327e-03       1.136446e-04                    -2.365093e-04           0.535233
MS        MS  5.246768e-03       1.120682e-04                    -2.320039e-04           0.524677
CINF    CINF  5.233584e-03       8.452554e-05                    -2.490762e-04           0.523358
SYK      SYK  5.229503e-03       7.986430e-05                    -2.222995e-04           0.522950
CDNS    CDNS  5.221456e-03       1.000621e-04                    -2.215740e-04           0.522146
VLO      VLO  5.218381e-03       1.272428e-04                    -2.370983e-04           0.521838
GS        GS  5.141459e-03       9.284771e-05                    -2.221718e-04           0.514146
EFX      EFX  5.124493e-03       8.638121e-05                    -2.229852e-04           0.512449
NUE      NUE  5.098404e-03       1.033998e-04                    -2.153680e-04           0.509840
WRB      WRB  4.988758e-03       6.907277e-05                    -2.162617e-04           0.498876
PFG      PFG  4.981255e-03       1.014326e-04                    -2.206063e-04           0.498126
C          C  4.889945e-03       1.053383e-04                    -2.236514e-04           0.488994
MSFT    MSFT  4.816690e-03       7.758407e-05                    -1.948608e-04           0.481669
HIG      HIG  4.792926e-03       9.643137e-05                    -2.105956e-04           0.479293
PSA      PSA  4.715864e-03       6.643246e-05                    -1.940015e-04           0.471586
MPWR    MPWR  4.692740e-03       1.214096e-04                    -2.206883e-04           0.469274
SMCI    SMCI  4.682733e-03       1.743809e-04                    -2.547709e-04           0.468273
ECL      ECL  4.668176e-03       6.867057e-05                    -2.039311e-04           0.466818
STLD    STLD  4.658234e-03       1.113800e-04                    -2.004180e-04           0.465823
AMT      AMT  4.646492e-03       7.086350e-05                    -1.872158e-04           0.464649
PNC      PNC  4.642773e-03       8.300600e-05                    -1.931160e-04           0.464277
AXP      AXP  4.608058e-03       8.370317e-05                    -1.987238e-04           0.460806
COST    COST  4.604388e-03       5.867700e-05                    -2.029709e-04           0.460439
ROL      ROL  4.544301e-03       7.046851e-05                    -2.041464e-04           0.454430
LLY      LLY  4.460887e-03       6.932180e-05                    -1.811626e-04           0.446089
NVDA    NVDA  4.460417e-03       1.271856e-04                    -2.098858e-04           0.446042
CL        CL  4.454715e-03       5.020196e-05                    -1.827128e-04           0.445472
FITB    FITB  4.450326e-03       9.842303e-05                    -2.062847e-04           0.445033
TFC      TFC  4.449303e-03       8.698251e-05                    -1.997201e-04           0.444930
EQIX    EQIX  4.436857e-03       8.305392e-05                    -1.851939e-04           0.443686
EXR      EXR  4.297870e-03       7.090163e-05                    -1.839439e-04           0.429787
AVGO    AVGO  4.297410e-03       9.745785e-05                    -1.885674e-04           0.429741
TER      TER  4.282723e-03       1.040088e-04                    -1.921321e-04           0.428272
PODD    PODD  4.248973e-03       1.092037e-04                    -1.950731e-04           0.424897
USB      USB  4.213222e-03       7.392199e-05                    -1.824938e-04           0.421322
AAPL    AAPL  4.206472e-03       7.400077e-05                    -1.763449e-04           0.420647
BSX      BSX  4.201666e-03       7.535103e-05                    -1.880742e-04           0.420167
SNPS    SNPS  4.167724e-03       6.987635e-05                    -1.758085e-04           0.416772
