Portfolio: PCA Portfolio 4

Portfolio Statistics:
Annual_Return                 0.163399
Annual_Volatility             0.108206
Sharpe_Ratio                  1.510075
Historical_VaR_Breach_Rate    0.793651
LSTM_VaR_Breach_Rate          4.761905
MonteCarlo_VaR_Breach_Rate    2.380952
Skewness                     -0.109665
Excess_Kurtosis               0.431822
Max_Drawdown                 -0.022813
VaR_95_Historical            -0.009798

Risk Metrics Summary:
Historical_VaR_Breach_Rate              0.793651
LSTM_VaR_Breach_Rate                    4.761905
MonteCarlo_VaR_Breach_Rate              2.380952
Avg_Historical_VaR                     -0.015960
Avg_Historical_ES                      -0.022658
Avg_LSTM_VaR                           -0.012309
Avg_LSTM_ES                            -0.015619
Avg_MonteCarlo_VaR                     -0.011284
Avg_MonteCarlo_ES                      -0.014301
LSTM_Prediction_MAE                     0.005986
LSTM_Prediction_MSE                     0.000063
LSTM_Prediction_Std                     0.002896
Actual_Returns_Std                      0.006816
LSTM_VaR_Coverage_Ratio                 0.952381
MonteCarlo_VaR_Coverage_Ratio           0.476190
Historical_VaR_Coverage_Ratio           0.158730
LSTM_ES_vs_Historical_ES_Ratio          0.689345
MonteCarlo_ES_vs_Historical_ES_Ratio    0.631171

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
VTR      VTR  0.009150       1.882827e-04                    -4.414823e-04           0.915047
WELL    WELL  0.008991       1.641457e-04                    -4.230625e-04           0.899144
SPG      SPG  0.008576       1.773861e-04                    -4.088900e-04           0.857611
O          O  0.008414       1.315557e-04                    -3.777108e-04           0.841395
FRT      FRT  0.007821       1.291300e-04                    -3.388377e-04           0.782075
DOC      DOC  0.007590       1.337839e-04                    -3.208674e-04           0.759028
ESS      ESS  0.007489       1.158042e-04                    -3.014299e-04           0.748853
REG      REG  0.007361       1.301925e-04                    -3.193655e-04           0.736089
KIM      KIM  0.007190       1.425382e-04                    -3.143524e-04           0.718989
GIS      GIS  0.007144       8.594015e-05                    -2.948484e-04           0.714449
UDR      UDR  0.007040       1.111956e-04                    -2.893599e-04           0.704005
AVB      AVB  0.006907       1.048876e-04                    -2.845736e-04           0.690736
EQR      EQR  0.006836       1.054448e-04                    -2.734909e-04           0.683578
JNJ      JNJ  0.006657       6.996833e-05                    -2.699679e-04           0.665705
CPT      CPT  0.006621       1.010714e-04                    -2.750193e-04           0.662139
MAA      MAA  0.006605       9.709847e-05                    -2.693019e-04           0.660521
BXP      BXP  0.006500       1.162190e-04                    -2.684439e-04           0.649971
CPB      CPB  0.006284       8.596713e-05                    -2.880004e-04           0.628414
SJM      SJM  0.006284       8.382077e-05                    -2.733990e-04           0.628380
K          K  0.006243       7.806290e-05                    -2.878080e-04           0.624254
MCK      MCK  0.006069       1.013461e-04                    -2.634787e-04           0.606935
CAH      CAH  0.005703       9.556582e-05                    -2.559823e-04           0.570266
KR        KR  0.005692       9.388724e-05                    -2.504182e-04           0.569215
CCL      CCL  0.005691       1.743673e-04                    -3.122532e-04           0.569092
AMGN    AMGN  0.005575       8.455262e-05                    -2.227796e-04           0.557455
GILD    GILD  0.005566       9.634982e-05                    -2.472507e-04           0.556623
ARE      ARE  0.005554       8.828174e-05                    -2.304258e-04           0.555416
COR      COR  0.005507       8.437844e-05                    -2.327299e-04           0.550715
MRK      MRK  0.005486       7.163841e-05                    -2.213861e-04           0.548627
HRL      HRL  0.005477       7.174199e-05                    -2.416577e-04           0.547743
PGR      PGR  0.005288       7.485341e-05                    -2.295794e-04           0.528842
EXR      EXR  0.005225       8.620222e-05                    -2.236391e-04           0.522535
NOC      NOC  0.005150       7.425612e-05                    -2.223907e-04           0.514982
CAG      CAG  0.005102       7.434008e-05                    -2.284037e-04           0.510209
CVS      CVS  0.005021       7.905928e-05                    -2.228599e-04           0.502089
PG        PG  0.004986       5.357410e-05                    -2.056667e-04           0.498554
PFE      PFE  0.004927       6.748186e-05                    -1.915324e-04           0.492674
KMB      KMB  0.004850       5.583035e-05                    -2.038527e-04           0.485028
DRI      DRI  0.004827       9.786607e-05                    -2.469545e-04           0.482739
RCL      RCL  0.004722       1.437217e-04                    -2.508609e-04           0.472175
BDX      BDX  0.004707       6.036581e-05                    -1.966273e-04           0.470693
EXPE    EXPE  0.004660       1.262535e-04                    -2.335357e-04           0.466032
LLY      LLY  0.004652       7.228549e-05                    -1.889077e-04           0.465160
BMY      BMY  0.004604       6.778583e-05                    -2.134861e-04           0.460381
HST      HST  0.004585       9.523215e-05                    -1.996892e-04           0.458511
CHD      CHD  0.004565       5.705795e-05                    -2.024023e-04           0.456468
UAL      UAL  0.004501       1.377342e-04                    -2.195524e-04           0.450077
PSA      PSA  0.004492       6.327838e-05                    -1.847907e-04           0.449196
MKC      MKC  0.004476       5.848590e-05                    -1.912062e-04           0.447600
LMT      LMT  0.004466       5.884220e-05                    -1.888465e-04           0.446561
NVR      NVR  0.004446       8.073922e-05                    -1.933872e-04           0.444628
CLX      CLX  0.004396       5.825008e-05                    -1.910416e-04           0.439634
PLD      PLD  0.004385       7.565226e-05                    -1.894975e-04           0.438516
DLR      DLR  0.004379       7.428664e-05                    -1.794411e-04           0.437937
LEN      LEN  0.004287       1.006598e-04                    -1.908161e-04           0.428737
TDG      TDG  0.004281       8.292308e-05                    -2.056111e-04           0.428099
LYV      LYV  0.004265       1.017593e-04                    -1.990704e-04           0.426510
WMT      WMT  0.004263       5.141183e-05                    -1.822762e-04           0.426331
MGM      MGM  0.004248       1.212614e-04                    -2.055349e-04           0.424844
ON        ON  0.004232       1.194735e-04                    -1.986696e-04           0.423205
ABT      ABT  0.004193       5.667258e-05                    -1.751600e-04           0.419297
CL        CL  0.004146       4.672060e-05                    -1.700422e-04           0.414579
DTE      DTE  0.004024       5.226814e-05                    -1.771411e-04           0.402417
BAX      BAX  0.004002       6.002847e-05                    -1.831157e-04           0.400167
DHI      DHI  0.003879       8.792552e-05                    -1.680986e-04           0.387873
PHM      PHM  0.003876       9.594679e-05                    -1.793076e-04           0.387568
SCHW    SCHW  0.003821       7.906569e-05                    -1.660076e-04           0.382069
AES      AES  0.003797       7.648756e-05                    -1.694588e-04           0.379665
WYNN    WYNN  0.003783       1.083461e-04                    -1.812181e-04           0.378346
ADM      ADM  0.003759       6.209772e-05                    -1.683073e-04           0.375914
MDLZ    MDLZ  0.003754       4.706788e-05                    -1.500959e-04           0.375431
MAR      MAR  0.003713       7.186237e-05                    -1.655848e-04           0.371339
UNH      UNH  0.003703       5.909813e-05                    -1.532262e-04           0.370257
CI        CI  0.003605       6.519945e-05                    -1.573112e-04           0.360518
VZ        VZ  0.003526       4.085821e-05                    -1.325225e-04           0.352597
ERIE    ERIE  0.003523       5.554629e-05                    -1.598483e-04           0.352254
MET      MET  0.003502       6.838289e-05                    -1.561997e-04           0.350189
DAL      DAL  0.003501       8.979855e-05                    -1.604780e-04           0.350118
PNW      PNW  0.003470       4.586025e-05                    -1.447765e-04           0.346956
MHK      MHK  0.003442       8.214853e-05                    -1.578775e-04           0.344250
PEP      PEP  0.003440       3.737959e-05                    -1.488472e-04           0.343983
GD        GD  0.003378       4.690962e-05                    -1.395555e-04           0.337753
TSLA    TSLA  0.003369       1.187965e-04                    -1.761789e-04           0.336934
ROST    ROST  0.003367       6.178161e-05                    -1.470371e-04           0.336696
BK        BK  0.003319       5.661845e-05                    -1.384814e-04           0.331908
BIIB    BIIB  0.003311       7.865658e-05                    -1.508363e-04           0.331107
RJF      RJF  0.003307       6.344256e-05                    -1.487148e-04           0.330717
CMG      CMG  0.003298       7.132553e-05                    -1.541495e-04           0.329802
ETR      ETR  0.003273       4.521124e-05                    -1.383689e-04           0.327315
XOM      XOM  0.003267       5.140634e-05                    -1.346246e-04           0.326702
ELV      ELV  0.003264       5.779483e-05                    -1.480818e-04           0.326360
MCHP    MCHP  0.003244       6.855733e-05                    -1.435124e-04           0.324388
MTCH    MTCH  0.003212       8.290568e-05                    -1.499200e-04           0.321227
BA        BA  0.003200       7.223276e-05                    -1.529722e-04           0.320014
WBA      WBA  0.003177       6.114812e-05                    -1.469111e-04           0.317671
CNP      CNP  0.003165       4.895399e-05                    -1.452192e-04           0.316550
MPWR    MPWR  0.003162       8.181857e-05                    -1.487230e-04           0.316246
PCAR    PCAR  0.003162       5.276738e-05                    -1.273637e-04           0.316218
ALL      ALL  0.003158       4.671903e-05                    -1.455119e-04           0.315836
MMM      MMM  0.003143       4.590228e-05                    -1.349110e-04           0.314317
CINF    CINF  0.003112       5.025354e-05                    -1.480849e-04           0.311156
PPL      PPL  0.003102       4.119551e-05                    -1.400744e-04           0.310152
WY        WY  0.003098       5.966804e-05                    -1.337593e-04           0.309779
SYY      SYY  0.003092       5.074340e-05                    -1.570567e-04           0.309248
TMO      TMO  0.003057       4.726260e-05                    -1.232610e-04           0.305699
ULTA    ULTA  0.003045       7.430818e-05                    -1.417375e-04           0.304506
CAT      CAT  0.003025       5.542548e-05                    -1.284105e-04           0.302461
NEE      NEE  0.003024       4.188114e-05                    -1.339299e-04           0.302425
PEG      PEG  0.003000       3.934795e-05                    -1.159828e-04           0.300026
IRM      IRM  0.002995       5.299300e-05                    -1.299343e-04           0.299509
AMT      AMT  0.002994       4.566797e-05                    -1.206512e-04           0.299443
REGN    REGN  0.002984       7.076432e-05                    -1.265843e-04           0.298390
DECK    DECK  0.002961       7.983852e-05                    -1.410351e-04           0.296122
HUM      HUM  0.002941       5.618205e-05                    -1.402565e-04           0.294097
T          T  0.002925       3.785142e-05                    -1.301680e-04           0.292500
JPM      JPM  0.002913       5.096036e-05                    -1.233206e-04           0.291332
MO        MO  0.002911       3.728806e-05                    -1.226708e-04           0.291078
COP      COP  0.002910       6.193399e-05                    -1.302698e-04           0.291014
PRU      PRU  0.002882       5.792560e-05                    -1.275486e-04           0.288188
FAST    FAST  0.002826       4.737576e-05                    -1.184622e-04           0.282571
NXPI    NXPI  0.002822       7.330835e-05                    -1.297949e-04           0.282225
CTRA    CTRA  0.002820       6.693688e-05                    -1.212216e-04           0.282004
HES      HES  0.002798       7.137161e-05                    -1.257320e-04           0.279834
VRTX    VRTX  0.002792       7.173029e-05                    -1.248253e-04           0.279206
ALGN    ALGN  0.002787       7.980544e-05                    -1.367179e-04           0.278651
ITW      ITW  0.002759       4.005261e-05                    -1.122079e-04           0.275908
LRCX    LRCX  0.002756       6.716930e-05                    -1.250112e-04           0.275596
CB        CB  0.002754       3.851574e-05                    -1.212059e-04           0.275436
EIX      EIX  0.002754       4.129955e-05                    -1.242994e-04           0.275400
LHX      LHX  0.002751       4.368998e-05                    -1.142381e-04           0.275065
TAP      TAP  0.002749       4.556207e-05                    -1.171257e-04           0.274910
MS        MS  0.002724       5.817769e-05                    -1.204396e-04           0.272374
WRB      WRB  0.002713       3.755741e-05                    -1.175895e-04           0.271257
GL        GL  0.002709       5.442393e-05                    -1.254970e-04           0.270896
IBM      IBM  0.002687       3.760862e-05                    -1.216296e-04           0.268733
SNPS    SNPS  0.002685       4.502100e-05                    -1.132726e-04           0.268524
EQT      EQT  0.002683       7.312388e-05                    -1.243541e-04           0.268335
BAC      BAC  0.002681       5.692922e-05                    -1.184771e-04           0.268120
STT      STT  0.002659       5.266182e-05                    -1.184532e-04           0.265851
J          J  0.002656       4.681103e-05                    -1.098205e-04           0.265566
PCG      PCG  0.002648       8.345528e-05                    -1.743384e-04           0.264850
NVDA    NVDA  0.002621       7.472936e-05                    -1.233208e-04           0.262077
CMI      CMI  0.002608       4.818675e-05                    -1.095645e-04           0.260802
HSY      HSY  0.002608       3.319738e-05                    -1.192312e-04           0.260783
LVS      LVS  0.002607       6.406869e-05                    -1.185044e-04           0.260750
PKG      PKG  0.002603       4.510416e-05                    -1.108881e-04           0.260302
NTRS    NTRS  0.002598       4.596442e-05                    -1.122167e-04           0.259816
EOG      EOG  0.002590       6.224184e-05                    -1.137502e-04           0.259049
ROL      ROL  0.002586       4.009761e-05                    -1.161623e-04           0.258577
EQIX    EQIX  0.002576       4.822625e-05                    -1.075351e-04           0.257631
CCI      CCI  0.002571       3.829170e-05                    -1.041010e-04           0.257140
L          L  0.002571       3.822945e-05                    -1.139286e-04           0.257119
MRO      MRO  0.002545       7.622150e-05                    -1.226532e-04           0.254511
TER      TER  0.002543       6.176843e-05                    -1.141028e-04           0.254341
WM        WM  0.002541       2.996804e-05                    -1.092882e-04           0.254138
EXC      EXC  0.002533       3.629874e-05                    -1.077536e-04           0.253281
GWW      GWW  0.002524       4.207489e-05                    -1.045054e-04           0.252447
NI        NI  0.002511       3.483267e-05                    -1.076672e-04           0.251123
SRE      SRE  0.002502       3.422258e-05                    -1.027796e-04           0.250241
FICO    FICO  0.002491       5.283534e-05                    -1.116239e-04           0.249130
KMX      KMX  0.002491       5.672325e-05                    -1.143507e-04           0.249095
AMAT    AMAT  0.002476       5.716185e-05                    -1.113547e-04           0.247580
NUE      NUE  0.002470       5.008788e-05                    -1.043264e-04           0.246972
CVX      CVX  0.002443       4.137970e-05                    -1.056608e-04           0.244279
APD      APD  0.002438       3.732559e-05                    -1.062623e-04           0.243802
