Portfolio: S&P 500 (Market-Cap-Weight)

Portfolio Statistics:
Annual_Return                  0.189804
Annual_Volatility              0.191527
Sharpe_Ratio                   0.991003
Historical_VaR_Breach_Rate     4.201681
LSTM_VaR_Breach_Rate           1.680672
Skewness                      -0.689549
Excess_Kurtosis               11.306520
Max_Drawdown                  -0.137878
VaR_95_Historical             -0.018553

Risk Metrics Summary:
Historical_VaR_Breach_Rate        4.201681
LSTM_VaR_Breach_Rate              1.680672
Avg_Historical_VaR               -0.015041
Avg_Historical_ES                -0.019819
Avg_LSTM_VaR                     -0.018708
Avg_LSTM_ES                      -0.023115
LSTM_Prediction_MAE               0.008614
LSTM_Prediction_MSE               0.000127
LSTM_Prediction_Std               0.007540
Actual_Returns_Std                0.008427
LSTM_VaR_Coverage_Ratio           0.336134
Historical_VaR_Coverage_Ratio     0.840336
LSTM_ES_vs_Historical_ES_Ratio    1.166307

Portfolio Composition:
       Stock    Weight  Risk_Contribution  Expected_Shortfall_Contribution  Weight_Percentage
NVDA    NVDA  0.074917           0.002135                        -0.003518           7.491682
AAPL    AAPL  0.073159           0.001287                        -0.003049           7.315909
MSFT    MSFT  0.066371           0.001069                        -0.002685           6.637075
AMZN    AMZN  0.045827           0.000943                        -0.002021           4.582736
GOOG    GOOG  0.045585           0.000779                        -0.001948           4.558543
GOOGL  GOOGL  0.045585           0.000778                        -0.001951           4.558538
TSLA    TSLA  0.022146           0.000781                        -0.001156           2.214593
AVGO    AVGO  0.016561           0.000376                        -0.000725           1.656106
LLY      LLY  0.015238           0.000237                        -0.000619           1.523775
JPM      JPM  0.014856           0.000260                        -0.000628           1.485596
WMT      WMT  0.014568           0.000176                        -0.000623           1.456753
V          V  0.012889           0.000203                        -0.000546           1.288935
UNH      UNH  0.011724           0.000187                        -0.000481           1.172376
XOM      XOM  0.011280           0.000177                        -0.000465           1.127974
ORCL    ORCL  0.010952           0.000184                        -0.000475           1.095227
MA        MA  0.010304           0.000177                        -0.000433           1.030377
HD        HD  0.008721           0.000128                        -0.000368           0.872135
COST    COST  0.008645           0.000110                        -0.000377           0.864513
PG        PG  0.008589           0.000092                        -0.000354           0.858865
BAC      BAC  0.007716           0.000164                        -0.000340           0.771604
NFLX    NFLX  0.007576           0.000240                        -0.000388           0.757625
CRM      CRM  0.006689           0.000152                        -0.000297           0.668872
CVX      CVX  0.006191           0.000105                        -0.000268           0.619076
TMUS    TMUS  0.005882           0.000131                        -0.000285           0.588152
WFC      WFC  0.005324           0.000100                        -0.000233           0.532421
MRK      MRK  0.005241           0.000068                        -0.000210           0.524065
CSCO    CSCO  0.004927           0.000081                        -0.000233           0.492674
ACN      ACN  0.004752           0.000072                        -0.000199           0.475237
BX        BX  0.004733           0.000104                        -0.000205           0.473297
AMD      AMD  0.004709           0.000164                        -0.000244           0.470906
PEP      PEP  0.004681           0.000051                        -0.000203           0.468127
MS        MS  0.004646           0.000099                        -0.000204           0.464580
LIN      LIN  0.004600           0.000062                        -0.000175           0.459990
MCD      MCD  0.004511           0.000053                        -0.000200           0.451089
DIS      DIS  0.004483           0.000074                        -0.000189           0.448290
AXP      AXP  0.004347           0.000079                        -0.000187           0.434697
ABT      ABT  0.004324           0.000058                        -0.000180           0.432417
PM        PM  0.004301           0.000058                        -0.000194           0.430076
INTU    INTU  0.004147           0.000076                        -0.000177           0.414736
GE        GE  0.004119           0.000081                        -0.000183           0.411908
IBM      IBM  0.004077           0.000057                        -0.000185           0.407720
ISRG    ISRG  0.004042           0.000081                        -0.000182           0.404237
GS        GS  0.004008           0.000072                        -0.000173           0.400783
CAT      CAT  0.003989           0.000073                        -0.000169           0.398872
TXN      TXN  0.003946           0.000067                        -0.000158           0.394646
QCOM    QCOM  0.003836           0.000081                        -0.000182           0.383569
VZ        VZ  0.003771           0.000044                        -0.000142           0.377150
DHR      DHR  0.003581           0.000058                        -0.000141           0.358120
BKNG    BKNG  0.003542           0.000073                        -0.000160           0.354200
CMCSA  CMCSA  0.003530           0.000054                        -0.000147           0.352952
T          T  0.003501           0.000045                        -0.000155           0.350056
NEE      NEE  0.003377           0.000047                        -0.000150           0.337731
SPGI    SPGI  0.003359           0.000054                        -0.000154           0.335935
BLK      BLK  0.003337           0.000058                        -0.000139           0.333727
LOW      LOW  0.003287           0.000057                        -0.000144           0.328746
AMGN    AMGN  0.003279           0.000050                        -0.000131           0.327930
PGR      PGR  0.003223           0.000046                        -0.000140           0.322314
HON      HON  0.003203           0.000046                        -0.000135           0.320295
SYK      SYK  0.003199           0.000049                        -0.000136           0.319874
SCHW    SCHW  0.003175           0.000066                        -0.000138           0.317533
UNP      UNP  0.003072           0.000048                        -0.000123           0.307207
ETN      ETN  0.003052           0.000054                        -0.000129           0.305178
PFE      PFE  0.003023           0.000041                        -0.000117           0.302314
AMAT    AMAT  0.002995           0.000069                        -0.000134           0.299484
KKR      KKR  0.002978           0.000063                        -0.000132           0.297790
C          C  0.002797           0.000060                        -0.000128           0.279732
COP      COP  0.002781           0.000059                        -0.000124           0.278069
BSX      BSX  0.002758           0.000049                        -0.000123           0.275785
LMT      LMT  0.002727           0.000036                        -0.000115           0.272699
ADP      ADP  0.002609           0.000036                        -0.000111           0.260872
FI        FI  0.002581           0.000038                        -0.000107           0.258121
VRTX    VRTX  0.002580           0.000066                        -0.000115           0.257981
UPS      UPS  0.002461           0.000036                        -0.000105           0.246107
NKE      NKE  0.002455           0.000043                        -0.000107           0.245455
BMY      BMY  0.002453           0.000036                        -0.000113           0.245274
MDT      MDT  0.002415           0.000034                        -0.000102           0.241492
SBUX    SBUX  0.002400           0.000042                        -0.000103           0.239971
GILD    GILD  0.002370           0.000041                        -0.000105           0.236984
MMC      MMC  0.002347           0.000029                        -0.000097           0.234677
MU        MU  0.002298           0.000068                        -0.000106           0.229769
PLD      PLD  0.002260           0.000039                        -0.000097           0.225963
INTC    INTC  0.002259           0.000046                        -0.000104           0.225909
ADI      ADI  0.002204           0.000041                        -0.000089           0.220380
SO        SO  0.002072           0.000025                        -0.000091           0.207241
MO        MO  0.002039           0.000026                        -0.000086           0.203902
AMT      AMT  0.001975           0.000030                        -0.000079           0.197466
LRCX    LRCX  0.001939           0.000047                        -0.000087           0.193882
PH        PH  0.001935           0.000037                        -0.000083           0.193518
CI        CI  0.001924           0.000035                        -0.000084           0.192374
ICE      ICE  0.001921           0.000029                        -0.000077           0.192119
WM        WM  0.001881           0.000022                        -0.000081           0.188128
CTAS    CTAS  0.001867           0.000029                        -0.000082           0.186691
DUK      DUK  0.001864           0.000022                        -0.000078           0.186389
EQIX    EQIX  0.001863           0.000035                        -0.000078           0.186252
MDLZ    MDLZ  0.001855           0.000023                        -0.000074           0.185498
APH      APH  0.001829           0.000029                        -0.000076           0.182883
WELL    WELL  0.001822           0.000033                        -0.000086           0.182192
REGN    REGN  0.001789           0.000042                        -0.000076           0.178896
PNC      PNC  0.001773           0.000032                        -0.000073           0.177257
KLAC    KLAC  0.001768           0.000040                        -0.000080           0.176797
AON      AON  0.001764           0.000024                        -0.000074           0.176447
MSI      MSI  0.001758           0.000028                        -0.000075           0.175790
CME      CME  0.001746           0.000027                        -0.000076           0.174629
SNPS    SNPS  0.001721           0.000029                        -0.000073           0.172074
CMG      CMG  0.001718           0.000037                        -0.000080           0.171846
CDNS    CDNS  0.001709           0.000033                        -0.000073           0.170917
GD        GD  0.001703           0.000024                        -0.000070           0.170340
USB      USB  0.001675           0.000029                        -0.000073           0.167451
MAR      MAR  0.001666           0.000032                        -0.000074           0.166646
MCK      MCK  0.001656           0.000028                        -0.000072           0.165552
EOG      EOG  0.001628           0.000039                        -0.000071           0.162800
EMR      EMR  0.001555           0.000026                        -0.000066           0.155501
FTNT    FTNT  0.001553           0.000041                        -0.000075           0.155307
NOC      NOC  0.001548           0.000022                        -0.000067           0.154817
FDX      FDX  0.001548           0.000029                        -0.000069           0.154755
MMM      MMM  0.001520           0.000022                        -0.000065           0.152034
TDG      TDG  0.001517           0.000029                        -0.000072           0.151698
APD      APD  0.001516           0.000023                        -0.000066           0.151641
TGT      TGT  0.001508           0.000027                        -0.000067           0.150752
ORLY    ORLY  0.001507           0.000024                        -0.000069           0.150680
ECL      ECL  0.001494           0.000022                        -0.000065           0.149376
WMB      WMB  0.001483           0.000035                        -0.000077           0.148284
CSX      CSX  0.001457           0.000025                        -0.000060           0.145725
SPG      SPG  0.001456           0.000030                        -0.000069           0.145598
CVS      CVS  0.001440           0.000023                        -0.000064           0.143982
RSG      RSG  0.001401           0.000017                        -0.000059           0.140138
BDX      BDX  0.001400           0.000018                        -0.000058           0.139987
AJG      AJG  0.001391           0.000018                        -0.000058           0.139055
ADSK    ADSK  0.001387           0.000031                        -0.000062           0.138678
OKE      OKE  0.001380           0.000033                        -0.000072           0.137990
RCL      RCL  0.001339           0.000041                        -0.000071           0.133887
AFL      AFL  0.001330           0.000022                        -0.000059           0.133025
TFC      TFC  0.001329           0.000026                        -0.000060           0.132928
FCX      FCX  0.001320           0.000041                        -0.000065           0.131983
SLB      SLB  0.001312           0.000030                        -0.000059           0.131165
DLR      DLR  0.001307           0.000022                        -0.000053           0.130673
TRV      TRV  0.001274           0.000018                        -0.000056           0.127367
NSC      NSC  0.001271           0.000022                        -0.000054           0.127144
PCAR    PCAR  0.001266           0.000021                        -0.000051           0.126608
ROP      ROP  0.001265           0.000018                        -0.000055           0.126453
PSA      PSA  0.001262           0.000018                        -0.000052           0.126189
SRE      SRE  0.001256           0.000017                        -0.000051           0.125608
MET      MET  0.001241           0.000024                        -0.000055           0.124115
GWW      GWW  0.001234           0.000021                        -0.000051           0.123439
BK        BK  0.001224           0.000021                        -0.000051           0.122445
JCI      JCI  0.001213           0.000019                        -0.000052           0.121278
CHTR    CHTR  0.001191           0.000022                        -0.000051           0.119148
NXPI    NXPI  0.001187           0.000031                        -0.000054           0.118657
FICO    FICO  0.001184           0.000025                        -0.000053           0.118418
PCG      PCG  0.001184           0.000037                        -0.000078           0.118364
CPRT    CPRT  0.001174           0.000019                        -0.000052           0.117437
AMP      AMP  0.001174           0.000024                        -0.000052           0.117373
AZO      AZO  0.001130           0.000017                        -0.000054           0.112997
DHI      DHI  0.001126           0.000026                        -0.000049           0.112643
ALL      ALL  0.001121           0.000017                        -0.000051           0.112145
PAYX    PAYX  0.001107           0.000016                        -0.000046           0.110675
AEP      AEP  0.001103           0.000014                        -0.000044           0.110331
MNST    MNST  0.001088           0.000021                        -0.000049           0.108782
CMI      CMI  0.001068           0.000020                        -0.000045           0.106778
O          O  0.001064           0.000017                        -0.000047           0.106445
D          D  0.001041           0.000014                        -0.000045           0.104133
PWR      PWR  0.001027           0.000021                        -0.000046           0.102665
FIS      FIS  0.001017           0.000017                        -0.000046           0.101699
AIG      AIG  0.001017           0.000022                        -0.000048           0.101666
COR      COR  0.001013           0.000016                        -0.000043           0.101292
FAST    FAST  0.001009           0.000017                        -0.000042           0.100865
OXY      OXY  0.001009           0.000028                        -0.000049           0.100862
LHX      LHX  0.001008           0.000016                        -0.000042           0.100773
MSCI    MSCI  0.001001           0.000019                        -0.000043           0.100114
ODFL    ODFL  0.000990           0.000019                        -0.000042           0.099000
AXON    AXON  0.000983           0.000030                        -0.000048           0.098311
LEN      LEN  0.000979           0.000023                        -0.000044           0.097868
PRU      PRU  0.000975           0.000020                        -0.000043           0.097549
NDAQ    NDAQ  0.000974           0.000015                        -0.000039           0.097375
CCI      CCI  0.000970           0.000014                        -0.000039           0.097038
HES      HES  0.000965           0.000025                        -0.000043           0.096528
KMB      KMB  0.000962           0.000011                        -0.000040           0.096182
AME      AME  0.000961           0.000015                        -0.000040           0.096079
TEL      TEL  0.000955           0.000016                        -0.000039           0.095466
VLO      VLO  0.000954           0.000023                        -0.000043           0.095448
PEG      PEG  0.000954           0.000013                        -0.000037           0.095372
DFS      DFS  0.000951           0.000022                        -0.000045           0.095091
F          F  0.000941           0.000020                        -0.000042           0.094124
STZ      STZ  0.000928           0.000016                        -0.000043           0.092773
KDP      KDP  0.000924           0.000013                        -0.000037           0.092378
EA        EA  0.000910           0.000018                        -0.000039           0.091034
KR        KR  0.000903           0.000015                        -0.000040           0.090295
DAL      DAL  0.000889           0.000023                        -0.000041           0.088932
IT        IT  0.000868           0.000015                        -0.000039           0.086754
GRMN    GRMN  0.000861           0.000015                        -0.000037           0.086094
EW        EW  0.000860           0.000018                        -0.000042           0.085967
XEL      XEL  0.000858           0.000011                        -0.000035           0.085799
CBRE    CBRE  0.000857           0.000019                        -0.000039           0.085726
GLW      GLW  0.000856           0.000016                        -0.000037           0.085624
VRSK    VRSK  0.000853           0.000012                        -0.000037           0.085294
EXC      EXC  0.000845           0.000012                        -0.000036           0.084535
LULU    LULU  0.000845           0.000022                        -0.000041           0.084515
ACGL    ACGL  0.000824           0.000012                        -0.000037           0.082413
CTSH    CTSH  0.000822           0.000015                        -0.000038           0.082242
YUM      YUM  0.000802           0.000012                        -0.000035           0.080195
